source_rank	full_name	current_club	country_raw	primary_position	category
1	Ellyes Skhiri	Eintracht Francfort	🇩🇪 ALL	MDC	Elite A
2	Montassar Talbi	FC Lorient	🇫🇷 FRA	DC	Elite A
3	Hannibal Mejbri	Burnley FC	🏴 ANG	MO	Elite A
4	Rani Khedira	Union Berlin	🇩🇪 ALL	MDC	Elite A
5	Ismaël Gharbi	FC Augsbourg	🇩🇪 ALL	MO	Elite A
6	Ali Abdi	OGC Nice	🇫🇷 FRA	DG	Elite A
7	Elias Achouri	FC Copenhague	🇩🇰 DAN	AI	Elite A
8	Aïssa Laïdouni	Al-Wakrah SC	🇶🇦 QAT	MC	Elite A
9	Hamza Rafia	Lecce	🇮🇹 ITA	MO	Elite A
10	Anis Ben Slimane	Norwich City	🏴 ANG	MC	Elite A
11	Elias Saad	FC Augsbourg	🇩🇪 ALL	AI	Elite A
12	Sayfallah Ltaief	FC Twente	🇳🇱 PBA	AI	Elite A
13	M. Ali Ben Romdhane	Al Ahly	🇪🇬 EGY	MC	Elite A
14	Alaa Ghram	Shakhtar Donetsk	🇺🇦 UKR	DC	Elite A
15	Moutaz Neffati	IFK Norrköping	🇸🇪 SUE	DD	Elite A
16	Yan Valery	Young Boys Berne	🇨🇭 SUI	DD	Elite A
17	Dylan Bronn	Servette FC	🇨🇭 SUI	DC	Elite A
18	Mohamed Belhadj M.	FC Lugano	🇨🇭 SUI	MDC	Elite A
19	Sebastian Tounekti	Celtic FC	🏴 ECO	AI	Elite A
20	Louay Ben Farhat	Karlsruher SC	🇩🇪 ALL	BU	Elite A
21	Nader Ghandri	Akhmat Grozny	🇷🇺 RUS	DC	Elite A
22	Hazem Mastouri	D. Makhachkala	🇷🇺 RUS	BU	Elite A
23	Ferjani Sassi	Al-Gharafa	🇶🇦 QAT	MC	Elite A
24	Youssef Msakni	Al-Arabi SC	🇶🇦 QAT	AI	Elite A
25	Mortadha Ben Ouanes	Kasimpasa	🇹🇷 TUR	DG	Elite A
26	Firas Belarbi	Sharjah FC	🇦🇪 EAU	MO	Elite A
27	Saad Bguir	Al-Wehda	🇸🇦 ARA	MO	Elite A
28	Rayan Elloumi	Vancouver Whitecaps	🇨🇦 CAN	BU	Elite A
29	Wassim Slama	Paris SG	🇫🇷 FRA	MO	Espoir Elite
30	Slim Bouaskar	AS Roma	🇮🇹 ITA	GB	Espoir Elite
31	Thomas Zouaghi	Sassuolo	🇮🇹 ITA	GB	Espoir Elite
32	Mayssam Benama	AS Monaco	🇫🇷 FRA	MC	Espoir Elite
33	Dhirar Brik	FC Südtirol	🇮🇹 ITA	MDC	Espoir Elite
34	Adam Ghellab	Paris SG	🇫🇷 FRA	MC	Espoir Elite
35	Khalil Ayari	Paris SG	🇫🇷 FRA	BU	Espoir Elite
36	Kelyan Yahia	Ol. Lyonnais	🇫🇷 FRA	DC	Espoir Elite
37	Ali Jaber	Bologne FC	🇮🇹 ITA	DC	Espoir Elite
38	Amine Saïd	Bologne FC	🇮🇹 ITA	BU	Espoir Elite
39	Najd Ajroud	AS Monaco	🇫🇷 FRA	AI	Espoir Elite
40	Mehdi Tlili	AS Monaco	🇫🇷 FRA	DG	Espoir Elite
41	Yanis Smolarz	AS Monaco	🇫🇷 FRA	GB	Espoir Elite
42	Chaïm El Djebali	Ol. Lyonnais	🇫🇷 FRA	MO	Espoir Elite
43	Jibril Othman	AS St-Étienne	🇫🇷 FRA	BU	Espoir Elite
44	Béchir Yacoub	AS Monaco	🇫🇷 FRA	AI	Espoir Elite
45	Rayane Messellem	Toulouse FC	🇫🇷 FRA	MO	Espoir Elite
46	Yanis Ali	Montpellier HSC	🇫🇷 FRA	BU	Espoir Elite
47	Anas Alaoui	E. Francfort	🇩🇪 ALL	BU	Espoir Elite
48	Amin-Elias Gröller	Rapid Vienne	🇦🇹 AUT	DC	Espoir Elite
49	Zinedine Hasni	OGC Nice	🇫🇷 FRA	MO	Espoir Elite
50	Yanis Cissokho	OGC Nice	🇫🇷 FRA	MC	Espoir Elite
51	Skander Bouzamita	Le Havre AC	🇫🇷 FRA	MC	Espoir Elite
52	Anas Haj Mohamed	Parme Calcio	🇮🇹 ITA	AI	Espoir Elite
53	Yassine Ennejah	Hellas Vérone	🇮🇹 ITA	MC	Espoir Elite
54	Zayon Chtai Telamio	Paris SG	🇫🇷 FRA	DC	Espoir Elite
55	Ilyas Ansah	SC Paderborn	🇩🇪 ALL	BU	Pro / D2
56	Youssef Amyn	E. Braunschweig	🇩🇪 ALL	AI	Pro / D2
57	Karim Coulibaly	Hambourg SV	🇩🇪 ALL	DC	U19 Elite
58	Elias Bencib	VfB Stuttgart	🇩🇪 ALL	MC	U19 Elite
59	Yanis Kaba	Bayern Munich	🇩🇪 ALL	AI	U17 Elite
60	Rayane Kasmi	AC Milan	🇮🇹 ITA	MC	U17 Elite
61	Amin Cherni	Stade Lavallois	🇫🇷 FRA	DG	Pro / D2
62	Idris El Mizouni	Oxford United	🏴 ANG	MC	Pro / D2
63	Rayan Ghrieb	Dunkerque	🇫🇷 FRA	AI	Pro / D2
64	Nassim L'Ahmini	Niort	🇫🇷 FRA	MC	Pro / D3
65	Noa Cervantes	Troyes AC	🇫🇷 FRA	AI	Pro / D2
66	Amine Belkhir	Angers SCO	🇫🇷 FRA	BU	Pro / D1
67	S. Haj Abdallah	KFC Houtvenne	🇧🇪 BEL	MC	U19 Elite
68	Yassine Ben Mahmoud	Angers SCO	🇫🇷 FRA	AI	U19 Elite
69	Samy Benchama	Sochaux	🇫🇷 FRA	MC	Pro / D3
70	Yanis Merdji	Concarneau	🇫🇷 FRA	BU	Pro / D3
71	Adil Taoui	LASK Linz	🇦🇹 AUT	AI	Pro / D1
72	Moataz Zemzemi	Niort	🇫🇷 FRA	MC	Pro / D3
73	Elias Damergy	Rennes (Res.)	🇫🇷 FRA	GB	Pro / D4
74	Ahmed Sidibé	AS St-Étienne	🇫🇷 FRA	MDC	Pro / D2
75	Marwann Nzuzi	AS St-Étienne	🇫🇷 FRA	AI	Pro / D2
76	Seifeddine Jaziri	Zamalek SC	🇪🇬 EGY	BU	Pro / D1
77	Naim Sliti	Al-Shamal SC	🇶🇦 QAT	AI	Pro / D1
78	Haithem Ouaslati	Inter Miami	🇺🇸 USA	MDC	U23 Elite
79	Anis Saidi	San Diego FC	🇺🇸 USA	BU	Pro / D1
80	Naïm Laïdouni	Umm Salal	🇶🇦 QAT	DC	Pro / D1
81	Bassem Srarfi	Al-Khor	🇶🇦 QAT	AI	Pro / D1
82	Wajdi Sahli	R. Kragujevac	🇷🇸 SER	AI	Pro / D1
83	Ali Youssef	BK Häcken	🇸🇪 SUE	BU	Pro / D1
84	Amor Layouni	BK Häcken	🇸🇪 SUE	AI	Pro / D1
85	Saif-Eddine Khaoui	Red Star FC	🇫🇷 FRA	MO	Pro / D2
86	Iliesse Salhi	OGC Nice	🇫🇷 FRA	DC	U19 Elite
87	Mohamed Sissoko	VfB Stuttgart	🇩🇪 ALL	MC	U19 Elite
88	Kais Benabdelouahed	(Allemagne)	🇩🇪 ALL	DC	U17 Elite
89	Yanis Bourbia	(France)	🇫🇷 FRA	MC	U20 Elite
90	Sabri Cherif	(Belgique)	🇧🇪 BEL	DG	U17 Elite
91	Rami Ben Brahim	(Belgique)	🇧🇪 BEL	GB	U23 Elite
92	Ilyes Merdji	Ol. Lyonnais	🇫🇷 FRA	MC	U17 Elite
93	Alison Santos	Sporting CP	🇵🇹 POR	AI	U19 Elite
94	Nils De Wilde	Cercle Bruges	🇧🇪 BEL	MDC	Pro / D1
95	Yassine Fortune	(Europe)	🇪🇺 EUR	BU	Pro / D2
96	Adam Yousfi	Lille OSC	🇫🇷 FRA	AI	U19 Elite
97	Yanis Lhéry	(France)	🇫🇷 FRA	BU	Pro / D3
98	Marwan El-Hassani	(France)	🇫🇷 FRA	AI	Pro / D3
99	Rayan Lutin	(France)	🇫🇷 FRA	MO	Pro / D3
100	Yanis El Khayari	(France)	🇫🇷 FRA	MC	U19 Elite
101	Wajdi Kechrida	Atromitos	🇬🇷 GRE	DD	Elite A
102	Oussama Haddadi	Greuther Fürth	🇩🇪 ALL	DC	Elite A
103	Mohamed Dräger	FC Bâle	🇨🇭 SUI	DD	Elite A
104	Rami Kaib	Djurgårdens IF	🇸🇪 SUE	DG	Elite A
105	Adam Daghim	RB Salzbourg	🇦🇹 AUT	AI	Binational
106	Borna Pejicic	Udinese	🇮🇹 ITA	DC	Scouting U20
107	Gianni d'Angelo	KAS Eupen	🇧🇪 BEL	MC	Scouting U20
108	Adam Abed	LOSC Lille	🇫🇷 FRA	DC	Scouting U20
109	Adam Karabi	AS Saint-Étienne	🇫🇷 FRA	MC	Scouting U17
110	Wassim Khediri	FC Metz	🇫🇷 FRA	DC	Scouting U17
111	Rayan Jabari	Stade Rennais	🇫🇷 FRA	MC	Scouting U17
112	Zakaria El Ayari	(Filière Italie)	🇮🇹 ITA	DC	Scouting U20
113	Hedi M'Hamdi	FC Chiasso	🇨🇭 SUI	BU	Scouting U20
114	Sofiane Ghorbel	FC Metz	🇫🇷 FRA	DC	Scouting U23
115	Yanis Hamzaoui	Troyes AC	🇫🇷 FRA	DC	Scouting U17
116	Adrien Ragotten	Stade Brestois	🇫🇷 FRA	DD	Scouting U20
117	Sami Faraj	FC Annecy	🇫🇷 FRA	MC	Pro / D2
118	Haykeul Chikhaoui	Ajman Club	🇦🇪 EAU	MC	Pro / D1
119	T. Yassine Khenissi	Kuwait SC	🇰🇼 KOW	BU	Pro / D1
120	Bilel Ifa	Kuwait SC	🇰🇼 KOW	DC	Pro / D1
121	Malik Talabidi	(Libre)	🇩🇪 ALL	DC	Scouting Elite
122	Yassine Belkhdim	Angers SCO	🇫🇷 FRA	MC	Pro / D2
123	Sami Belkorchia	Quevilly-Rouen	🇫🇷 FRA	DC	Pro / D3
124	Yoann Touzghar	AC Ajaccio	🇫🇷 FRA	BU	Pro / D2
125	Bilel Ait Malek	(Europe)	🇪🇺 EUR	MC	Scouting
126	Ayman Ben Mohamed	(Europe)	🇪🇺 EUR	DG	Elite A
127	Marc Lamti	(Allemagne)	🇩🇪 ALL	DC	Elite A
128	Driss Khalid	(France)	🇫🇷 FRA	MO	Pro / D3
129	Yanis Maronne	(France)	🇫🇷 FRA	MC	U19
130	Adel Belkacem	(France)	🇫🇷 FRA	DC	U19
131	Karim El Abed	Karlsruher SC	🇩🇪 ALL	DC	U19
132	Noah Nadir	(France)	🇫🇷 FRA	MC	U19
133	Adam Ben Salah	(France)	🇫🇷 FRA	DC	U19
134	Rayan El Khayari	(France)	🇫🇷 FRA	MC	U19
135	Bilel Ghazi	(France)	🇫🇷 FRA	BU	U20
136	Sami El-Abbassi	(Allemagne)	🇩🇪 ALL	DC	U20
137	Selim Ben Djemia	(Vétéran/Filière)	🇪🇺 EUR	DC	Elite A
138	Samy Kehli	(Europe)	🇪🇺 EUR	MC	Pro
139	Sofiane Khayat	(France)	🇫🇷 FRA	MC	Pro
140	Elias Khediri	(France)	🇫🇷 FRA	DC	U19
141	Tayssir Badji	(France)	🇫🇷 FRA	MC	U17
142	Nassim L'Ahmini	(Récupération)	🇫🇷 FRA	MC	Scouting
143	Elias Benali	Montpellier HSC	🇫🇷 FRA	MC	U19
144	Rayane Bouhanni	RC Strasbourg	🇫🇷 FRA	MC	U19
145	Mehdi Zerkane	(Libre/Filière)	🇪🇺 EUR	MO	Elite A
146	Samir Benama	(France)	🇫🇷 FRA	MDC	U17
147	Ayman El Wafi	(Vérification)	🇨🇭 SUI	DC	Scouting
148	Bilel Hassaini	(France)	🇫🇷 FRA	AI	Pro
149	Yassine Kechta	(Attention/Filtre)	🇫🇷 FRA	MC	Scouting
150	Wajdi Sahli	R. Kragujevac	🇷🇸 SER	AI	Elite A
